name,gsis_id,rank,team,position,fumbles,pass_att,pass_comp,pass_ints,pass_tds,pass_2_pt,pass_yards,receptions,rec_tds,rec_2_pt,rec_yards,rush_att,rush_tds,rush_2_pt,rush_yards,kick_ret_tds,punt_ret_tds,fg_made_yards,made_pat,miss_pat,made_0_19,miss_0_19,made_20_29,miss_20_29,made_30_39,miss_30_39,made_40_49,miss_40_49,made_50_plus,miss_50_pluis,sacks,interceptions,fum_rec,safeties,def_tds,return_tds,pts_allowed
J.Witten,00-0022127,75,DAL,TE,,,,,,,,73,8,0,851,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Wright,00-0029708,76,TEN,WR,0,,,,,,,94,2,0,1079,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Thomas,00-0024813,77,NO,RB,,,,,,,,77,3,0,513,147,2,0,549,,,,,,,,,,,,,,,,,,,,,,
S.Watkins,00-0031325,78,BUF,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Wallace,00-0026901,79,MIA,WR,,,,,,,,73,5,0,930,3,0,0,33,,,,,,,,,,,,,,,,,,,,,,
M.Jones-Drew,00-0024275,80,JAX,RB,1,1,1,0,1,0,8,43,0,0,314,235,5,0,803,,,,,,,,,,,,,,,,,,,,,,
E.Decker,00-0027690,81,DEN,WR,1,,,,,,,87,11,0,1288,,,,,,0,,,,,,,,,,,,,,,,,,,,
T.Williams,00-0030542,82,DAL,WR,2,,,,,,,44,5,1,736,3,0,0,4,0,,,,,,,,,,,,,,,,,,,,,
C.Shorts,00-0028052,83,JAX,WR,,,,,,,,66,3,0,777,,,,,,,,,,,,,,,,,,,,,,,,,,
F.Jackson,00-0024204,84,BUF,RB,0,,,,,,,46,1,0,375,207,9,0,896,,,,,,,,,,,,,,,,,,,,,,
D.Sproles,00-0023564,85,NO,RB,3,,,,,,,71,2,0,604,53,2,0,220,0,0,,,,,,,,,,,,,,,,,,,,
D.Williams,00-0024242,86,CAR,RB,2,,,,,,,26,1,0,333,200,3,0,833,,,,,,,,,,,,,,,,,,,,,,
K.Robinson,00-0030348,87,NO,RB,,,,,,,,,,,,54,1,0,224,,,,,,,,,,,,,,,,,,,,,,
A.Boldin,00-0022084,88,SF,WR,,,,,,,,85,7,0,1179,2,0,0,11,,,,,,,,,,,,,,,,,,,,,,
L.Miller,00-0029615,89,MIA,RB,1,,,,,,,26,0,0,170,177,2,0,709,,,,,,,,,,,,,,,,,,,,,,
D.Hopkins,00-0030564,90,HOU,WR,1,,,,,,,52,2,0,802,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Ivory,00-0027531,91,NYJ,RB,0,,,,,,,2,0,0,10,182,3,0,833,,,,,,,,,,,,,,,,,,,,,,
D.Woodhead,00-0026019,92,SD,RB,2,,,,,,,76,6,0,605,106,2,0,425,0,,,,,,,,,,,,,,,,,,,,,
K.Moreno,00-0026988,93,DEN,RB,0,,,,,,,61,3,0,553,242,10,0,1039,,,,,,,,,,,,,,,,,,,,,,
R.Cooper,00-0027758,94,PHI,WR,,,,,,,,47,8,2,833,0,0,0,18,0,,,,,,,,,,,,,,,,,,,,,
D.Amendola,00-0026035,95,NE,WR,,,,,,,,54,2,0,633,1,0,0,1,,0,,,,,,,,,,,,,,,,,,,,
J.Cameron,00-0028040,96,CLE,TE,0,,,,,,,80,7,0,917,,,,,,,,,,,,,,,,,,,,,,,,,,
G.Jennings,00-0024267,97,MIN,WR,,,,,,,,68,4,0,804,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle.Seahawks,,98,SEA,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,28,11,2,4,,225
R.Wilson,00-0029263,99,SEA,QB,5,407,257,9,26,0,3357,,,,,96,1,0,539,,,,,,,,,,,,,,,,,,,,,,
M.Ryan,00-0026143,100,ATL,QB,4,651,439,17,26,0,4515,,,,,17,0,0,55,,,,,,,,,,,,,,,,,,,,,,
S.Smith,00-0020337,101,CAR,WR,,,,,,,,64,4,0,745,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Greene,00-0026899,102,TEN,RB,,,,,,,,6,0,0,39,77,4,0,295,,,,,,,,,,,,,,,,,,,,,,
